STATE,ZIP CODE,CARRIER,LOCALITY,RURAL IND,LAB CB LOCALITY,RURAL IND2,PLUS 4 FLAG,PART B DRUG INDICATOR,YEAR/QTR
AK,99812,02102,01,B,Z9,B,0,A,20174
AK,99820,02102,01,R,Z9,R,0,A,20174
AK,99821,02102,01,B,Z9,B,0,A,20174
AK,99824,02102,01,B,Z9,B,0,A,20174
AK,99825,02102,01,R,Z9,R,0,A,20174
AK,99826,02102,01,R,Z9,R,0,A,20174
AK,99827,02102,01,B,Z9,B,0,A,20174
AK,99829,02102,01,R,Z9,R,0,A,20174
AK,99830,02102,01,R,Z9,R,0,A,20174
AK,99832,02102,01,R,Z9,R,0,A,20174
AK,99833,02102,01,R,Z9,R,0,A,20174
AK,99835,02102,01,B,Z9,B,0,A,20174
AK,99836,02102,01,B,Z9,B,0,A,20174
AK,99840,02102,01,R,Z9,R,0,A,20174
AK,99841,02102,01,R,Z9,R,0,A,20174
AK,99850,02102,01,B,Z9,B,0,A,20174
AK,99901,02102,01,B,Z9,B,0,A,20174
AK,99903,02102,01,R,Z9,R,0,A,20174
AK,99918,02102,01,R,Z9,R,0,A,20174
AK,99919,02102,01,R,Z9,R,0,A,20174
AK,99921,02102,01,R,Z9,R,0,A,20174
AK,99922,02102,01,R,Z9,R,0,A,20174
AK,99923,02102,01,R,Z9,R,0,A,20174
AK,99925,02102,01,R,Z9,R,0,A,20174
AK,99926,02102,01,R,Z9,R,0,A,20174
AK,99927,02102,01,R,Z9,R,0,A,20174
AK,99928,02102,01,B,Z9,B,0,A,20174
AK,99929,02102,01,R,Z9,R,0,A,20174
AK,99950,02102,01,B,Z9,B,0,A,20174
AL,35004,10102,00,,Z9,,0,A,20174
AL,35005,10102,00,,Z9,,0,A,20174
AL,35006,10102,00,,Z9,,0,A,20174
AL,35007,10102,00,,Z9,,0,A,20174
AL,35010,10102,00,R,Z9,R,0,A,20174
AL,35011,10102,00,R,Z9,R,0,A,20174
AL,35013,10102,00,,Z9,,0,A,20174
AL,35014,10102,00,R,Z9,R,0,A,20174
AL,35015,10102,00,,Z9,,0,A,20174
AL,35016,10102,00,R,Z9,R,0,A,20174
AL,35019,10102,00,R,Z9,R,0,A,20174
AL,35020,10102,00,,Z9,,0,A,20174
AL,35021,10102,00,,Z9,,0,A,20174
AL,35022,10102,00,,Z9,,0,A,20174
AL,35023,10102,00,,Z9,,0,A,20174
AL,35031,10102,00,,Z9,,0,A,20174
AL,35032,10102,00,R,Z9,R,0,A,20174
AL,35033,10102,00,R,Z9,R,0,A,20174
AL,35034,10102,00,,Z9,,0,A,20174
AL,35035,10102,00,,Z9,,0,A,20174
AL,35036,10102,00,,Z9,,0,A,20174
AL,35038,10102,00,R,Z9,R,0,A,20174
AL,35040,10102,00,,Z9,,0,A,20174
AL,35041,10102,00,,Z9,,0,A,20174
AL,35042,10102,00,,Z9,,0,A,20174
AL,35043,10102,00,,Z9,,0,A,20174
AL,35044,10102,00,R,Z9,R,0,A,20174
AL,35045,10102,00,R,Z9,R,0,A,20174
AL,35046,10102,00,R,Z9,R,0,A,20174
AL,35048,10102,00,,Z9,,0,A,20174
AL,35049,10102,00,,Z9,,0,A,20174
AL,35051,10102,00,,Z9,,0,A,20174
AL,35052,10102,00,R,Z9,R,0,A,20174
AL,35053,10102,00,R,Z9,R,0,A,20174
AL,35054,10102,00,R,Z9,R,0,A,20174
AL,35055,10102,00,R,Z9,R,0,A,20174
AL,35056,10102,00,R,Z9,R,0,A,20174
AL,35057,10102,00,R,Z9,R,0,A,20174
AL,35058,10102,00,R,Z9,R,0,A,20174
AL,35060,10102,00,,Z9,,0,A,20174
AL,35061,10102,00,,Z9,,0,A,20174
AL,35062,10102,00,,Z9,,0,A,20174
AL,35063,10102,00,,Z9,,0,A,20174
AL,35064,10102,00,,Z9,,0,A,20174
AL,35068,10102,00,,Z9,,0,A,20174
AL,35070,10102,00,R,Z9,R,0,A,20174
AL,35071,10102,00,,Z9,,0,A,20174
AL,35072,10102,00,B,Z9,B,0,A,20174
AL,35073,10102,00,,Z9,,0,A,20174
AL,35074,10102,00,,Z9,,0,A,20174
AL,35077,10102,00,R,Z9,R,0,A,20174
AL,35078,10102,00,,Z9,,0,A,20174
AL,35079,10102,00,,Z9,,0,A,20174
AL,35080,10102,00,,Z9,,0,A,20174
AL,35082,10102,00,B,Z9,B,0,A,20174
AL,35083,10102,00,R,Z9,R,0,A,20174
AL,35085,10102,00,,Z9,,0,A,20174
AL,35087,10102,00,R,Z9,R,0,A,20174
AL,35089,10102,00,B,Z9,B,0,A,20174
AL,35091,10102,00,,Z9,,0,A,20174
AL,35094,10102,00,,Z9,,0,A,20174
AL,35096,10102,00,R,Z9,R,0,A,20174
AL,35097,10102,00,,Z9,,0,A,20174
AL,35098,10102,00,R,Z9,R,0,A,20174
AL,35111,10102,00,,Z9,,0,A,20174
AL,35112,10102,00,,Z9,,0,A,20174
AL,35114,10102,00,,Z9,,0,A,20174
AL,35115,10102,00,,Z9,,0,A,20174
AL,35116,10102,00,,Z9,,0,A,20174
AL,35117,10102,00,,Z9,,0,A,20174
AL,35118,10102,00,,Z9,,0,A,20174
AL,35119,10102,00,,Z9,,0,A,20174
AL,35120,10102,00,,Z9,,0,A,20174
AL,35121,10102,00,R,Z9,R,0,A,20174
AL,35123,10102,00,,Z9,,0,A,20174
AL,35124,10102,00,,Z9,,0,A,20174
AL,35125,10102,00,R,Z9,R,0,A,20174
AL,35126,10102,00,,Z9,,0,A,20174
AL,35127,10102,00,,Z9,,0,A,20174
AL,35128,10102,00,R,Z9,R,0,A,20174
AL,35130,10102,00,,Z9,,0,A,20174
AL,35131,10102,00,,Z9,,0,A,20174
AL,35133,10102,00,,Z9,,0,A,20174
AL,35135,10102,00,R,Z9,R,0,A,20174
AL,35136,10102,00,B,Z9,B,0,A,20174
AL,35137,10102,00,,Z9,,0,A,20174
AL,35139,10102,00,,Z9,,0,A,20174
AL,35142,10102,00,,Z9,,0,A,20174
AL,35143,10102,00,,Z9,,0,A,20174
AL,35144,10102,00,,Z9,,0,A,20174
